provider_id,provider_name,specialty,cohort_key,practice_setting,kl_divergence,cosine_distance,drift_flag,estimated_exposure
PRV0279,Nicole Thomas,Gastroenterology,Gastroenterology | full_time,full_time,6.983132,0.374576,True,172232.32
PRV0162,Taylor Perez,Orthopedic Surgery,Orthopedic Surgery | full_time,full_time,1.952301,0.022248,True,118038.52
PRV0145,Jennifer Potter,Orthopedic Surgery,Orthopedic Surgery | full_time,full_time,1.744747,0.012088,True,115100.23
PRV0252,Sharon Kim,Family Medicine,Family Medicine | full_time,full_time,0.954011,0.529236,True,104276.76
PRV0256,Michael Mckinney,Family Medicine,Family Medicine | full_time,full_time,0.89913,0.511712,True,122292.99
PRV0296,Ronald Walters,Family Medicine,Family Medicine | full_time,full_time,0.838458,0.493426,True,127015.28
PRV0125,Billy Rivera,Psychiatry,Psychiatry | full_time,full_time,0.45598,0.299204,True,54265.84
PRV0046,Grace Skinner,Internal Medicine,Internal Medicine | full_time,full_time,0.387753,0.29607,True,77294.97
PRV0268,Mark Mcintyre,Psychiatry,Psychiatry | full_time,full_time,0.35646,0.241887,True,50520.66
PRV0055,Alan Hernandez DVM,Internal Medicine,Internal Medicine | full_time,full_time,0.278598,0.231174,True,74739.93
PRV0012,Curtis Jones,Cardiology,Cardiology | full_time,full_time,0.230013,0.11049,True,79987.27
PRV0039,Erica Johnson,Cardiology,Cardiology | full_time,full_time,0.223588,0.108749,True,97617.08
PRV0264,Ronald Nelson,Family Medicine,Family Medicine | full_time,full_time,0.199123,0.181195,True,107172.15
PRV0262,Francisco Davis,Dermatology,Dermatology | full_time,full_time,0.075185,0.071066,False,58266.83
PRV0043,James Fields,Dermatology,Dermatology | full_time,full_time,0.067206,0.059821,False,61920.16
PRV0277,Deanna Herrera,Psychiatry,Psychiatry | full_time,full_time,0.032987,0.02952,False,39298.02
PRV0095,Kristina Huber,Cardiology,Cardiology | full_time,full_time,0.018761,0.009146,False,76649.73
PRV0002,Carol Holloway,Cardiology,Cardiology | full_time,full_time,0.01816,0.011867,False,85491.22
