provider_id,provider_name,specialty,n_active_months,cusum_score,cusum_flag,spike_ratio,spike_flag,temporal_flag,estimated_exposure
PRV0279,Nicole Thomas,Gastroenterology,24,12.6107,True,3.4118,False,True,172232.32
PRV0264,Ronald Nelson,Family Medicine,24,5.2748,True,3.3191,False,True,107172.15
PRV0046,Grace Skinner,Internal Medicine,24,3.1431,True,1.5556,False,True,77294.97
PRV0300,Cynthia Fuentes,Family Medicine,24,2.9781,False,1.551,False,False,59329.14
PRV0070,Heather Carpenter,Cardiology,24,2.9098,False,1.6471,False,False,80431.39
PRV0200,Michael Shelton,Emergency Medicine,24,2.801,False,1.5667,False,False,96070.88
PRV0238,Christy Lowery,Emergency Medicine,24,2.7317,False,1.5088,False,False,86592.41
PRV0141,Michelle Johnson,Radiology,24,2.6985,False,1.4138,False,False,224313.78
PRV0195,Scott Nichols,Cardiology,24,2.6461,False,1.5429,False,False,73257.29
PRV0089,Erin Hale,Family Medicine,24,2.5973,False,1.5102,False,False,57973.33
PRV0130,Maureen Arnold,Ophthalmology,24,2.5928,False,1.45,False,False,109899.14
PRV0252,Sharon Kim,Family Medicine,24,2.5838,False,1.6667,False,False,104276.76
PRV0199,Tracy Scott,OB/GYN,24,2.5374,False,1.6429,False,False,82865.28
PRV0076,Jacob Saunders,Ophthalmology,24,2.5029,False,1.6818,False,False,138211.95
PRV0015,Megan Reid,Family Medicine,24,2.4507,False,1.8667,False,False,57224.03
PRV0028,Cheryl Cisneros,Ophthalmology,24,2.4006,False,1.4872,False,False,111909.63
PRV0246,Holly Martin,Family Medicine,24,2.3567,False,1.4717,False,False,65901.53
PRV0287,Megan George,Emergency Medicine,24,2.337,False,1.5806,False,False,101264.31
PRV0102,Joshua Miller,Pulmonology,24,2.3333,False,1.4,False,False,58495.0
PRV0171,Amber Jones,Neurology,24,2.3249,False,1.5484,False,False,94169.27
PRV0155,Tammy Fields,Family Medicine,24,2.2849,False,1.5333,False,False,71360.64
PRV0132,Jose Saunders,Internal Medicine,24,2.2815,False,1.6444,False,False,58067.33
PRV0104,Daniel Yoder,OB/GYN,24,2.2809,False,1.4545,False,False,116228.76
PRV0180,Tracey Ortiz,Ophthalmology,24,2.2629,False,1.6216,False,False,98732.41
PRV0288,Jacob Bauer,Ophthalmology,24,2.2453,False,1.4091,False,False,124075.55
PRV0158,Elizabeth Foster,Pulmonology,24,2.2374,False,1.6,False,False,112286.86
PRV0184,Marc Oneill,Neurology,24,2.1571,False,1.3333,False,False,89868.08
PRV0093,Lucas Hamilton,Ophthalmology,24,2.1458,False,1.55,False,False,126295.95
PRV0109,Jennifer Gonzalez,Radiology,24,2.1376,False,1.377,False,False,236373.13
PRV0223,Frederick Morris,Cardiology,24,2.0656,False,1.4211,False,False,87905.35
PRV0245,Ashley Fuller,Pulmonology,24,2.0655,False,1.4444,False,False,76084.89
PRV0292,Cynthia Douglas,Psychiatry,24,2.0651,False,1.5625,False,False,49404.52
PRV0037,Phillip Weber,Internal Medicine,24,2.0398,False,1.4167,False,False,56430.86
PRV0196,Jacob Savage,Internal Medicine,24,2.0079,False,1.5455,False,False,55588.82
PRV0013,Lisa Ray,Emergency Medicine,24,1.9893,False,1.5161,False,False,100473.89
PRV0170,Justin Pittman,Psychiatry,24,1.9873,False,1.3889,False,False,53826.62
PRV0022,Patricia Williams,Dermatology,24,1.981,False,1.3636,False,False,37903.79
PRV0268,Mark Mcintyre,Psychiatry,24,1.9549,False,1.6667,False,False,50520.66
PRV0260,Teresa Wilkerson,Radiology,24,1.9504,False,1.4643,False,False,215970.57
PRV0029,Sherry Spencer,Pulmonology,24,1.9493,False,1.3143,False,False,74803.2
PRV0202,Mark Rhodes,Ophthalmology,24,1.9316,False,1.4545,False,False,125186.26
PRV0187,Victoria Bryant,Radiology,24,1.93,False,1.56,False,False,202029.02
PRV0071,Timothy Shelton,OB/GYN,24,1.9269,False,1.6,False,False,118701.0
PRV0176,Diana Hill,Gastroenterology,24,1.9218,False,1.5714,False,False,121551.94
PRV0193,Robert Gray,Endocrinology,24,1.8985,False,1.3846,False,False,43029.32
PRV0036,Sarah Long,Emergency Medicine,24,1.8566,False,1.8947,False,False,95711.32
PRV0123,Jennifer Chavez,Ophthalmology,24,1.8504,False,1.3659,False,False,106893.58
PRV0051,Christy Nichols,Emergency Medicine,24,1.8494,False,1.3939,False,False,97644.25
PRV0254,Richard English,Internal Medicine,24,1.8429,False,1.2653,False,False,59325.68
PRV0160,Charles Maldonado,Ophthalmology,24,1.8149,False,1.5676,False,False,107943.74
PRV0040,Margaret Parker,Ophthalmology,24,1.8075,False,1.3659,False,False,125279.6
PRV0006,Jennifer Jones,Internal Medicine,24,1.799,False,1.3571,False,False,69716.98
PRV0115,Maria Weaver,OB/GYN,24,1.7983,False,1.5294,False,False,114531.13
PRV0014,Jason Delgado,Dermatology,24,1.7946,False,1.3333,False,False,48840.15
PRV0063,Susan Mccoy,Family Medicine,24,1.7702,False,1.44,False,False,58843.89
PRV0049,Jamie Fowler,Emergency Medicine,24,1.7671,False,1.3793,False,False,96479.05
PRV0011,Suzanne Bryant,Family Medicine,24,1.7491,False,1.3462,False,False,67125.91
PRV0101,Roger Humphrey,Internal Medicine,24,1.7481,False,1.65,False,False,51911.34
PRV0072,Amy Pierce,Internal Medicine,24,1.7378,False,1.4545,False,False,53447.58
PRV0173,Ms. Vanessa Nelson DDS,Dermatology,24,1.7345,False,1.5652,False,False,45108.3
PRV0237,Andrew Sanchez,Emergency Medicine,24,1.7342,False,1.2877,False,False,113425.63
PRV0055,Alan Hernandez DVM,Internal Medicine,24,1.718,False,1.5909,False,False,74739.93
PRV0016,Dustin Chavez,Dermatology,24,1.7123,False,1.44,False,False,48934.82
PRV0214,Marcus Stone,Radiology,24,1.7005,False,1.2857,False,False,209648.59
PRV0191,Mr. Joshua Thomas,Dermatology,24,1.6883,False,1.4091,False,False,41050.44
PRV0197,Margaret Cook,Dermatology,24,1.6844,False,1.2653,False,False,44358.2
PRV0222,Stephanie Vazquez,Pulmonology,24,1.6702,False,1.5625,False,False,71869.82
PRV0153,Joel Harper,Ophthalmology,24,1.6599,False,1.4054,False,False,103339.25
PRV0299,William Bradford,Gastroenterology,24,1.656,False,1.3143,False,False,144947.43
PRV0121,Michael Reyes,Ophthalmology,24,1.649,False,1.3636,False,False,126230.79
PRV0266,Shannon Mayo,Family Medicine,24,1.6463,False,1.3818,False,False,67984.56
PRV0291,Benjamin Hayden,Endocrinology,24,1.6319,False,1.4118,False,False,39828.16
PRV0117,Ross Donovan,Emergency Medicine,24,1.6096,False,1.3889,False,False,116709.59
PRV0231,Tammy Graham,Radiology,24,1.6065,False,1.4444,False,False,214306.26
PRV0235,Brent Jenkins,Radiology,24,1.6013,False,1.6842,False,False,225601.5
PRV0082,Margaret Mueller,Ophthalmology,24,1.6005,False,1.24,False,False,128007.12
PRV0273,Anthony Patel,General Surgery,24,1.5969,False,1.3333,False,False,129541.95
PRV0163,Mark Lozano,Emergency Medicine,24,1.5903,False,1.3623,False,False,103981.95
PRV0107,Matthew Cross,Radiology,24,1.5859,False,1.3939,False,False,249339.42
PRV0147,Mark Edwards,Radiology,24,1.5793,False,1.3529,False,False,259607.37
PRV0012,Curtis Jones,Cardiology,24,1.5705,False,1.3333,False,False,79987.27
PRV0247,Jesus Erickson,Cardiology,24,1.5662,False,1.4762,False,False,100143.64
PRV0043,James Fields,Dermatology,24,1.5611,False,1.4138,False,False,61920.16
PRV0169,Michael Carroll,Neurology,24,1.5391,False,1.2,False,False,114503.95
PRV0161,Lisa Cooper DVM,Emergency Medicine,24,1.5348,False,1.2533,False,False,107658.37
PRV0048,Charles Trevino,Radiology,24,1.5317,False,1.5686,False,False,205107.87
PRV0168,Dr. Shelby Herring MD,Pulmonology,24,1.5309,False,1.381,False,False,92074.27
PRV0213,Megan Paul,Psychiatry,24,1.5167,False,1.2941,False,False,48901.26
PRV0125,Billy Rivera,Psychiatry,24,1.4982,False,1.5172,False,False,54265.84
PRV0064,Brooke Gonzalez,OB/GYN,24,1.4976,False,1.5758,False,False,114376.21
PRV0294,Connie Huber,Emergency Medicine,24,1.4947,False,1.36,False,False,113853.64
PRV0297,Scott Johnson,Emergency Medicine,24,1.4935,False,1.5385,False,False,110434.16
PRV0103,Kari Hernandez,General Surgery,24,1.4922,False,1.3846,False,False,143211.12
PRV0095,Kristina Huber,Cardiology,24,1.4908,False,1.3488,False,False,76649.73
PRV0096,William Nunez,Ophthalmology,24,1.473,False,1.3659,False,False,109446.2
PRV0232,Mark Ortiz,Orthopedic Surgery,24,1.4708,False,1.3077,False,False,83096.83
PRV0221,Karen Barton,Family Medicine,24,1.4701,False,1.2836,False,False,78291.94
PRV0270,Michelle Houston,Ophthalmology,24,1.4699,False,1.5238,False,False,124278.12
PRV0262,Francisco Davis,Dermatology,24,1.4682,False,1.5357,False,False,58266.83
PRV0088,Ronald Nguyen DDS,Gastroenterology,24,1.4596,False,1.5,False,False,132112.4
PRV0157,Kenneth Mcclure,Orthopedic Surgery,24,1.4582,False,1.1333,False,False,80360.0
PRV0201,Mary Hopkins,Radiology,24,1.4581,False,1.2069,False,False,221313.14
PRV0154,Sara Sims,Radiology,24,1.4474,False,1.4098,False,False,244721.17
PRV0003,Richard Dorsey,Endocrinology,24,1.4443,False,1.5,False,False,38543.21
PRV0289,Curtis Taylor,Dermatology,24,1.437,False,1.1923,False,False,46401.84
PRV0255,Daniel Wright,Ophthalmology,24,1.4367,False,1.5,False,False,115910.78
PRV0209,Victoria Lopez,Cardiology,24,1.4345,False,1.381,False,False,85963.3
PRV0174,Mrs. Ashley Mitchell,Family Medicine,24,1.4311,False,1.5918,False,False,63569.44
PRV0098,Darren Oliver,Pulmonology,24,1.4302,False,1.4444,False,False,69346.0
PRV0194,Cathy Chen,Endocrinology,24,1.4143,False,1.3889,False,False,41387.39
PRV0172,Sandra Anderson,Family Medicine,24,1.3904,False,1.7778,False,False,68978.6
PRV0274,Jacob Smith,Family Medicine,24,1.3894,False,1.4902,False,False,64688.91
PRV0131,Elizabeth Cruz,Pulmonology,24,1.3877,False,1.3171,False,False,79517.64
PRV0188,Douglas Lowe,Endocrinology,24,1.3856,False,1.4118,False,False,40098.66
