provider_id,provider_name,specialty,rule,evidence,estimated_exposure
PRV0025,Matthew Foster,Psychiatry,impossible_day,"Billed 1,465 service-minutes on 2024-01-01 across 29 claims (max 1 440 per day)",4544.16
PRV0025,Matthew Foster,Psychiatry,impossible_day,"Billed 1,455 service-minutes on 2024-01-02 across 29 claims (max 1 440 per day)",4563.13
PRV0025,Matthew Foster,Psychiatry,impossible_day,"Billed 1,535 service-minutes on 2024-01-18 across 29 claims (max 1 440 per day)",4732.16
PRV0025,Matthew Foster,Psychiatry,impossible_day,"Billed 1,500 service-minutes on 2024-01-25 across 29 claims (max 1 440 per day)",4674.76
PRV0025,Matthew Foster,Psychiatry,impossible_day,"Billed 1,470 service-minutes on 2024-01-29 across 29 claims (max 1 440 per day)",4609.72
PRV0025,Matthew Foster,Psychiatry,impossible_day,"Billed 1,585 service-minutes on 2024-02-02 across 30 claims (max 1 440 per day)",4897.98
PRV0025,Matthew Foster,Psychiatry,impossible_day,"Billed 1,560 service-minutes on 2024-02-14 across 29 claims (max 1 440 per day)",4764.0
PRV0025,Matthew Foster,Psychiatry,impossible_day,"Billed 1,465 service-minutes on 2024-02-29 across 29 claims (max 1 440 per day)",4638.94
PRV0025,Matthew Foster,Psychiatry,impossible_day,"Billed 1,535 service-minutes on 2024-03-05 across 29 claims (max 1 440 per day)",4761.08
PRV0025,Matthew Foster,Psychiatry,impossible_day,"Billed 1,460 service-minutes on 2024-03-19 across 29 claims (max 1 440 per day)",4558.1
PRV0025,Matthew Foster,Psychiatry,impossible_day,"Billed 1,445 service-minutes on 2024-03-28 across 28 claims (max 1 440 per day)",4510.76
PRV0025,Matthew Foster,Psychiatry,impossible_day,"Billed 1,535 service-minutes on 2024-04-02 across 29 claims (max 1 440 per day)",4728.16
PRV0025,Matthew Foster,Psychiatry,impossible_day,"Billed 1,520 service-minutes on 2024-04-04 across 29 claims (max 1 440 per day)",4661.98
PRV0025,Matthew Foster,Psychiatry,impossible_day,"Billed 1,470 service-minutes on 2024-04-08 across 29 claims (max 1 440 per day)",4619.5
PRV0025,Matthew Foster,Psychiatry,impossible_day,"Billed 1,465 service-minutes on 2024-04-11 across 27 claims (max 1 440 per day)",4488.2
PRV0025,Matthew Foster,Psychiatry,impossible_day,"Billed 1,470 service-minutes on 2024-04-23 across 27 claims (max 1 440 per day)",4450.84
